,en,ru,uk,es,ja
ANIME_069,Golden Time,Золотая пора,Золота пора,,
ANIME_070,Nana,Нана,Нана,,
ANIME_071,Paradise Kiss,Райский поцелуй,Райський поцілунок,,
ANIME_072,Beck,Бек,Бек,,
ANIME_073,Skip Beat!,Не сдавайся!,Не здавайся,,
ANIME_074,Rurouni Kenshin Meiji Swordsman Romantic Story,Бродяга Кэнсин,Бродяга Кенсін,,
ANIME_075,Ryo,Рё,Ре,,
ANIME_076,Berserk,Берсерк,Берсерк,,
ANIME_077,Samurai Deeper Kyo,Самурай Кё,Самурай Ке,,
ANIME_078,Bleach,Блич,Бліч,,
ANIME_079,Overlord,Повелитель,Король,,
ANIME_080,Accel World,Ускоренный мир,Прискорений світ,,
ANIME_081,.hack//SIGN,.хак//ЗНАК,.хак//ЗНАК,,
ANIME_082,Snow White with the Red Hair,Красноволосая принцесса Белоснежка,Червоноволоса принцеса Білосніжка,,
ANIME_083,Romeo x Juliet,Ромео и Джульетта,Ромео і Джульєтта,,
ANIME_084,The Story of Saiunkoku,Повесть о стране цветных облаков,Повість про країну кольорових хмар,,
ANIME_085,Maoyuu Maou Yuusha,Королева демонов и Герой,Королева демонів та Герой,,
ANIME_086,Special A,Спецкласс А,Спецкласс А,,
ANIME_087,Lovely Complex,Трогательный комплекс,Зворушливий комплекс,,
ANIME_088,My Little Monste,Чудовище за соседней партой,Чудовисько за сусідньою партою,,
ANIME_089,The Pet Girl of Sakurasou,Кошечка из Сакурасо,Кішечка із Сакурасо,,
ANIME_090,Spice and Wolf,Волчица и пряности,Вовчиця та прянощі,,
ANIME_091,LOG HORIZON,Покорение горизонта,Підкорення горизонту,,
ANIME_092,EARL AND FAIRY,Граф и фейри,Граф та фейрі,,
ANIME_093,KINO'S JOURNEY,Путешествие Кино,Подорож Кіно,,
ANIME_094,DURARARA!!,Дюрарара!!,Дюрарара!!,,
ANIME_095,The Ancient Magus Bride,Невеста чародея,Наречена чарівниця,,
ANIME_096,Iroduku: The World In Colors,Из завтрашнего дня разноцветного мира,Із завтрашнього дня різнобарвного світу,,
ANIME_097,Somali And The Forest Spirit,Сомали и Дух леса,Сомалі та Дух лісу,,
ANIME_098,Attack on Titan,Атака титанов,Атака титанів,,
ANIME_099,Black Bullet,Чёрная пуля,Чорна куля,,
ANIME_100,Fullmetal Alchemist,Стальной алхимик,Сталевий Алхімік,,
ANIME_101,Fate/Apocrypha,Судьба/Апокриф,Доля/Апокриф,,
ANIME_102,School rumble,Школьный переполох,Шкільний переполох,,
ANIME_103,Mysterious Play,Таинственная игра,Таємнича гра,,
ANIME_104,The Heroic Legend of Arslan,Сказание об Арслане,Оповідь про Арслана,,
TEST_KEY_1,Eng 1,Русскй 1,Укра 1,,
TEST_KEY_2,Eng 2,Русский 2,Укра 2,,
TEST_KEY_3,Eng 3,Русский 3,Укра 3,,
TEST_KEY_4,Eng 4,Русский 4,Укра 4,,
OPTIONS,Options,Настройки,Налаштування,,
OPTIONS_FS,Fullscreen,Полный экран,Повний екран,,
OPTIONS_VS,Vsync,Верт. Синхрон.,Верт. Синхрон.,,
OPTIONS_QT,Quiz timer,Время таймера,Час таймеру,,
OPTION_DONE,Accept,Принять,Прийняти,,
OPTION_RETURN,Restore settings,По умолчанию,За замовчуванням,,
OPTION_FOLDER,Open config folder,Открыть папку с настройками,Відкрити папку з налаштуваннями,,
QUIT,Quit,Выход,Вихід,,
START,Start,Запуск,Запуск,,
SKIP,Skip,Пропустить,пропустити,,
GAME_RETURN,Return to main menu,В главное меню,у головне меню,,
GAME_OVER,Game over.,Игра закончена,Гра закінчена,,
GAME_HINTS,Correct anwers / Total questions,Правильных ответов / Всего вопросов,Правильних відповідей / Усього питань,,
test,something wrong with resource,Что-то не то с файлами,щось пішло не так,,
LANGUAGE_SELECT,Select language,Выбрать язык,Вибрати мову,,
WELLCOME,Wellcome!,Добро пожаловать!,Ласкаво просимо,,
ANIME_105,Trigun,Триган,Триган,,
ANIME_106,Space Dandy,Космический Денди,Космічний Денді,,
ANIME_107,Jojo’s Bizarre Adventure,Невероятное приключение ДжоДжо,Неймовірна пригода ДжоДжо,,
ANIME_108,Cowboy Bebop,Ковбой Бибоп,Ковбой Бібоп,,
ANIME_109,Angel Beats,Ангельские ритмы!,Янгольські ритми!,,
ANIME_110,Puella Magi Madoka Magica,Девочка-волшебница Мадока Волшебство,Дівчинка-чарівниця Мадока Чарівність,,
ANIME_111,Serial Experiments Lain,Эксперименты Лэйн,Експерименти Лейн,,
ANIME_112,Ergo Proxy,Эрго Прокси,Ерго Проксі,,
ANIME_113,Evangelion,Евангелион,Євангеліон,,
ANIME_114,Trinity Blood,Кровь Триединства,Кров Триєдності,,
ANIME_115,Black Blood Brothers,Братство чёрной крови,Братство чорної крові,,
ANIME_116,Shiki,Усопшие,Померлі,,
ANIME_117,Toppa Tengen Gurren Lagaan,"Гуррен-Лаганн, пронзающий небеса","Гуррен-Лаганн, що пронизує небеса",,
ANIME_118,Fist of the North Star,Кулак Северной звезды,Кулак Північної зірки,,
ANIME_119,No Game No Life,Нет игры - нет жизни,Немає гри – немає життя,,
ANIME_120,Kakegurui,Безумный азарт,Шалений азарт,,
ANIME_121,Kaiji,Кайдзи,Кайдзі,,
ANIME_122,Death Parade,Смертельный парад,Смертельний парад,,
ANIME_123,Re:Zero,Жизнь с нуля в альтернативном мире,Життя з нуля в альтернативному світі,,
ANIME_124,Steins;Gate,Врата Штейна,Брама Штейна,,
ANIME_125,Higurashi – When They Cry,Когда плачут цикады,Коли плачуть цикади,,
ANIME_126,Gate  Thus the SDF Fought,Врата Там бьются наши воины,Брама Там б'ються наші воїни,,
ANIME_127,Rosario+Vampire,Розарио + Вампир,Розаріо + Вампір,,
ANIME_128,Demon King Daimao,Князь тьмы с задней парты,Князь темряви із задньої парти,,
ANIME_129,Sekirei,Сэкирэй,Секірей,,
ANIME_130,Monster Musume: Everyday Life with Monster Girls,Повседневная жизнь с девушкой-монстром,Повсякденне життя з дівчиною-монстром,,
ANIME_131,Desert Punk,Пустынная крыса,Пустельний щур,,
ANIME_132,El Cazador de la Bruja,Эль Касадор,Ель Касадор,,
ANIME_133,My Little Monster,Чудовище за соседней партой,Чудовисько за сусідньою партою,,
ANIME_134,Ace Of The Diamond,Путь аса,Шлях аса,,
ANIME_135,Gintama,Гинтама,Гінтама,,
ANIME_136,March Comes In Like A Lion,Мартовский лев,Березневий лев,,
ANIME_137,Owarimonogatari,История финала,Історія фіналу,,
ANIME_138,Pokemon,Покемон,Покемон,,
ANIME_139,Shaman King,Шаман Кинг,Шаман Кінг,,
ANIME_140,Ya Boy Kongming!,Тусовщик Кунмин,Тусовщик Кунмін,,
ANIME_141,Naruto,Наруто,Наруто,,
ANIME_142,Black Clover,Чёрный клевер,Чорна конюшина,,
ANIME_143,Free!,Вольный стиль!,Вільний стиль!,,
ANIME_144,The Ryuo's Work is Never Done!,"О том, кем работает король драконов","Про те, ким працює король драконів",,
ANIME_145,Violet Evergarden,Вайолет Эвергарден,Вайолет Евергарден,,
ANIME_146,The Boondocks,Гетто,Гетто,,
ANIME_147,Samurai Champloo,Самурай Чамплу,Самурай Чамплу,,
ANIME_148,Afro Samurai,Афросамурай,Афросамурай,,
ANIME_149,Black Jack,Чёрный Джек,Чорний Джек,,
ANIME_150,Code Geass,Код Гиас,Код Гіас,,
ANIME_151,Hunter x Hunter,Охотник х Охотник,Мисливець х Мисливець,,
ANIME_152,Future Diary,Дневник будущего,Щоденник майбутнього,,
ANIME_153,Death Note,Тетрадь смерти,Зошит смерті,,
ANIME_154,Ghost in the Shell,Призрак в доспехах,Привид в обладунках,,
ANIME_155,Dragon Ball Z,Драконий жемчуг Зет,Перлини дракона Зет,,
ANIME_156,Fate Zero,Судьба/Начало,Доля/Початок,,
ANIME_157,Fullmetal Alchemist,Стальной алхимик,Сталевий алхімік,,
ANIME_158,Guilty Crown,Корона грешника,Корона грішника,,
ANIME_159,Gundam Build Fighters Try,Гандам: Сконструированные бойцы 2,Гандам: Сконструйовані бійці 2,,
ANIME_160,Lucky Star,Счастливая звезда,Щаслива зірка,,
ANIME_161,Sailor Moon,Сейлор Мун,Сейлор Мун,,
ANIME_162,Tokyo Mew Mew,Токио Мяу Мяу,Токіо Мяу Мяу,,
ANIME_163,Tokyo Ghoul,Токийский гуль,Токійський гуль,,
ANIME_164,Ajin,Нелюдь,Нелюд,,
ANIME_165,Samurai Jack,Самурай Джек,Самурай Джек,,
ANIME_166,Yu-Gi-Oh Duel Monsters,Югио! Дуэльные монстры,Югіо! Дуельні монстри,,
BGMusic_VOLUME,Music volume,Громкость музыки,Гучність музики,,
VIDEO_VOLUME,Opening volume,Громкость заставок,Гучність заставок,,
SHOW_FPS,FPS counter,Счетчик кадров\с,Счетчик кадров\с,,
ANIME_167,Housing Complex C,Жилой комплекс С,Житловий комплекс С,,
GAME_AGAIN,Restart,Повторить,Повторити,,
HELP,How to play,Как играть,Як грати,,
ANIME_168,Legend of Mana -The Teardrop Crystal,Легенда о святом мече: Легенда маны,Легенда про святого меча: Легенда мани,,
ANIME_169,Vazzrock The Animation,Ваззрок,Ваззрок,,
ANIME_170,Shinobi no Ittoki,Время ниндзя,Час ніндзя,,
ANIME_171,Muv-Luv Alternative,Мув-Лув: Альтернатива,Мув-Лув: Альтернатива,,
ANIME_172,My Master Has No Tail,У моего мастера нет хвоста,У мого майстра немає хвоста,,
ANIME_173,"I'm the Villainess, So I'm Taming the Final Boss","Я стала злодейкой, поэтому мне нужно заарканить последнего босса","Я стала лиходійкою, тому мені потрібно заарканити останнього боса",,
ANIME_174,Fuuto PI,Детективы Футо,Детективи Футо,,
ANIME_175,Utawarerumono: Mask of Truth,Прославленный: Маска истины,Уславлений: Маска істини,,
ANIME_176,Shine Post,Блестящий пост,Блискучий піст,,
ANIME_177,Reincarnated as a Sword,О моём перерождении в меч,Про моє переродження в меч,,
ANIME_178,Berserk,Берсерк,Берсерк,,
ANIME_179,Summertime Render,Летнее время,Літній час,,
ANIME_180,Chainsaw Man,Человек-бензопила,Людина-бензопила,,
ANIME_181,Mob Psycho 100,Моб Психо 100,Моб Психо 100,,
ANIME_182,Bocchi the Rock,Одинокий рокер,Самотній рокер,,
ANIME_183,Komi Can't Communicate,У Коми-сан проблемы с общением,У Комі-сан проблеми зі спілкуванням,,
ANIME_184,My Senpai Is Annoying,Мой сэмпай раздражает,Мій семпай дратує,,
ANIME_185,I'm Quitting Heroing,Перестану быть героем,Перестану бути героєм,,
ANIME_186,The Executioner and Her Way of Life,Жизнь девушки-карателя,Життя дівчини-карателя,,
ANIME_187,Oresuki,Да как меня можешь любить только ты?,Та як мене можеш любити лише ти?,,
ANIME_188,Boarding School Juliet,Джульетта из школы-интерната,Джульєтта зі школи-інтернату,,
ANIME_189,Strike the Blood,Удар крови,Удар крові,,
ANIME_190,A Certain Magical Index,Индекс волшебства,Індекс чаклунства,,
ANIME_191,A Certain Scientific Railgun T,Некий научный Рейлган T,Якийсь науковий Рейлган T,,
ANIME_192,Chobits,Чобиты,Чобити,,
ANIME_193,And You Thought There Is Never a Girl Online?,"А ты думал, что твоя жена в онлайн-игре на самом деле не девушка?","А ти думав, що твоя дружина в онлайн-грі насправді не дівчина?",,
ANIME_194,Twin Star Exorcists,Две звезды оммёдзи,Дві зірки омедзі,,
ANIME_195,Cyberpunk: Edgerunners,Киберпанк: Бегущие по краю,"Кіберпанк: Ті, що біжать по краю",,
ANIME_196,Elfen Lied,Эльфийская песнь,Ельфійська пісня,,
ANIME_197,One Punch Man,Ванпанчмен,Ванпанчмен,,
ANIME_198,Spy X Family,Семья шпиона,Сім'я шпигуна,,
