,en,ru,pr,uk,es,ja
ANIME_020,Moriarty the Patriot,Патриотизм Мориарти,патреот маря,Патріотизм Моріарті,,
ANIME_021,D.Gray Man,Ди Грэй-мен,дибил Серый-мужик,Ді Грей-мен,,
ANIME_022,Fullmetal Alchemist: Brotherhood,Стальной алхимик: Братство,цельнометалический ягурщик,Сталевий алхімік: Братство,,
ANIME_023,Boys Over Flowers,Сначала парни — потом цветы,чветочки бабе - по болбу ирорасам,Спочатку хлопці – потім квіти,,
ANIME_024,Peach Girl,Красотка,карамельная ж0па,Красуня,,
ANIME_025,Marmalade Boy,Мальчик-мармелад,мальчик - фу епта не буду,Хлопчик-мармелад,,
ANIME_026,His and Her Circumstances,С его стороны — с её стороны,вобщем смотри значит слушай вобщем смотри,З його боку – з її боку,,
ANIME_027,Rumbling Hearts,Беспокойные сердца,румблер хартс(стоун),Стурбовані серця,,
ANIME_028,Dance With Devils,Танец с демонами,пляски вместе с димоном,Танець із демонами,,
ANIME_029,Kamisama Kiss,"Очень приятно, Бог",здоровеьки кулы епты Б.О.Г.,Дуже приємно Бог,,
ANIME_030,Yona of the Dawn,Йона на заре,на закате йохансан ы,Йона на зорі,,
ANIME_031,Brothers Conflict,Конфликт братьев,махач с братьями,Конфлікт братів,,
ANIME_032,Amnesia ,Амнезия,взлом головы,Амнезія,,
ANIME_033,Fruit Basket,Корзинка фруктов,ведро овощей,Кошик фруктів,,
ANIME_034,Nisekoi,Притворная любовь,ненастоящий любовник,Удаване кохання,,
ANIME_035,We Never Learn: BOKUBEN,Мы не можем учиться,уйти после 7го класса,Ми не можемо вчитися,,
ANIME_036,Senryu Girl,Девушка-сэнрю,баба сенрю типа по францюзге,Дівчина-сенрю,,
ANIME_037,Sword Art Online,Мастера Меча Онлайн,сао епта,Майстри меча онлайн,,
ANIME_038,Hanasaku Iroha,Азбука цветов,букварь запахов,Азбука квітів,,
ANIME_039,Spirited Away,Унесённые призраками,ушел мужик призраками(а они как раз),Віднесені привидами,,
ANIME_040,Clannad,Кланнад,Кланнад,Кланнад,,
ANIME_041,Haibane Renmei,Союз Серокрылых,ССР серорылых,Союз Сірокрилих,,
ANIME_042,Inu x Boku SS,Я и мой слуга из секретной службы,я и мой фсбшник,Я і мій слуга із секретної служби,,
ANIME_043,Fruits Basket,Корзинка фруктов,ведро овощей,Кошик фруктів,,
ANIME_044,Blend S,Садистская смесь,суп бати,Садистська суміш,,
ANIME_045,Toradora!,Торадора!,тораептадора сук,Торадора!,,
ANIME_046,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Может, я встречу тебя в подземелье?",лфг в р20,"Може, я зустріну тебе в підземеллі?",,
ANIME_047,KonoSuba: God's Blessing on this Wonderful World!,Этот замечательный мир!,сей чудесный свет,Цей чудовий світ!,,
ANIME_048,Grimgar of Fantasy and Ash,Гримгал пепла и иллюзий,алюзия епта морфа,Гримгал попелу та ілюзій,,
ANIME_049,Gate,Врата,ворота,Брама,,
ANIME_050,Tower of Druaga,Башня Друаги,вышка друга,Вежа Друаги,,
ANIME_051,Kimi ni Todoke From Me to You,Достучаться до тебя,стук стук тебя епта по лбу,Достукатись до тебе,,
ANIME_052,The Wallflower,Семь обличий Ямато Надэсико,стена цветов,Сім виразів Ямато Надесіко,,
ANIME_053,Kotoura-san,Котора-сан,который кун,Котоура-сан,,
ANIME_054,ReLife,Повторная жизнь,перезагрузка жизни,Повторне життя,,
ANIME_055,Horimiya,Хори-сан и Миямура-кун,хуримия,Хорі-сан та Міямура-кун,,
ANIME_056,K-On,Кэйон,кон,Кейон,,
ANIME_057,A-CHANNEL,Канал А,частота а,Канал А,,
ANIME_058,SOUND OF THE SKY,Звуки небес,звук из неба,Звуки небес,,
ANIME_059,YURU YURI,Лилии на ветру,ури ури,Лілії на вітрі,,
ANIME_060,TARI TARI,"И то, и другое",тар тар(соус такой),І те і інше,,
ANIME_061,"Love, Chunibyo & Other Delusions",Чудачества любви не помеха,дураку любовь прилипает,Дивацтва кохання не завада,,
ANIME_062,The Melancholy of Haruhi Suzumiya,Меланхолия Харухи Судзумии,грустинка гражданина,Меланхолія Харухі Судзумії,,
ANIME_063,Oreshura,Меж двух огней — Девушка и подруга детства,ореШУРА,Між двома вогнями — Дівчина і подруга дитинства,,
ANIME_064,Ground Control to Psychoelectric Girl,Радиосигнал от чудачки. Юноша на связи,наземный контроль психушки,Радіосигнал від дива. Хлопець на зв'язку,,
ANIME_065,Nagi no Asukara,Безоблачное завтра,завтра норм,Безхмарне завтра,,
ANIME_066,Glasslip,По ту сторону стекла,слиплись глаз,По той бік скла,,
ANIME_067,Waiting In The Summer,Мы ждём тебя летом,жду лета,Ми чекаємо на тебе влітку,,
ANIME_068,Kokoro Connect,Связь сердец,печенка связь,Зв'язок сердець,,
ANIME_069,Golden Time,Золотая пора,пара золото,Золота пора,,
ANIME_070,Nana,Нана,нана на нана,Нана,,
ANIME_071,Paradise Kiss,Райский поцелуй,чмок из рая,Райський поцілунок,,
ANIME_072,Beck,Бек,назад,Бек,,
ANIME_073,Skip Beat!,Не сдавайся!,ни шагу назад,Не здавайся,,
ANIME_074,Rurouni Kenshin Meiji Swordsman Romantic Story,Бродяга Кэнсин,бродяга дворняга,Бродяга Кенсін,,
ANIME_075,Ryo ,Рё,рио,Ре,,
ANIME_076,Berserk ,Берсерк,самурай,Берсерк,,
ANIME_077,Samurai Deeper Kyo,Самурай Кё,самурай кепта,Самурай Ке,,
ANIME_078,Bleach ,Блич,блин,Бліч,,
ANIME_079,Overlord,Повелитель,гражданин хозяин хаты,Король,,
ANIME_080,Accel World,Ускоренный мир,акель мир,Прискорений світ,,
ANIME_081,.hack//SIGN,.хак//ЗНАК,хактуный знак,.хак//ЗНАК,,
ANIME_082,Snow White with the Red Hair,Красноволосая принцесса Белоснежка,белая баба с волосами крови,Червоноволоса принцеса Білосніжка,,
ANIME_083,Romeo x Juliet,Ромео и Джульетта,рома и джула,Ромео і Джульєтта,,
ANIME_084,The Story of Saiunkoku,Повесть о стране цветных облаков,сказка о друге и цветов,Повість про країну кольорових хмар,,
ANIME_085,Maoyuu Maou Yuusha,Королева демонов и Герой,королевна димона и геры,Королева демонів та Герой,,
ANIME_086,Special A,Спецкласс А,класс А,Спецкласс А,,
ANIME_087,Lovely Complex,Трогательный комплекс,любовный комплес,Зворушливий комплекс,,
ANIME_088,My Little Monste,Чудовище за соседней партой,друг за партой,Чудовисько за сусідньою партою,,
ANIME_089,The Pet Girl of Sakurasou,Кошечка из Сакурасо,кот из сакуры,Кішечка із Сакурасо,,
ANIME_090,Spice and Wolf,Волчица и пряности,волк и пряник,Вовчиця та прянощі,,
ANIME_091,LOG HORIZON,Покорение горизонта,но менс скай,Підкорення горизонту,,
ANIME_092,EARL AND FAIRY,Граф и фейри,График и фейрик,Граф та фейрі,,
ANIME_093,KINO'S JOURNEY,Путешествие Кино,Кино,Подорож Кіно,,
ANIME_094,DURARARA!!,Дюрарара!!,дура!!!,Дюрарара!!,,
ANIME_095,The Ancient Magus Bride,Невеста чародея,баба ягуарщика,Наречена чарівниця,,
ANIME_096,Iroduku: The World In Colors,Из завтрашнего дня разноцветного мира,а сегодня в завтра не каждый может посмотреть,Із завтрашнього дня різнобарвного світу,,
ANIME_097,Somali And The Forest Spirit,Сомали и Дух леса,сомелье и епта его дух леса,Сомалі та Дух лісу,,
ANIME_098,Attack on Titan,Атака титанов,титановая атака,Атака титанів,,
ANIME_099,Black Bullet,Чёрная пуля,какуля епта черная хы,Чорна куля,,
ANIME_100,Fullmetal Alchemist,Стальной алхимик,стальной василий,Сталевий Алхімік,,
ANIME_101,Fate/Apocrypha,Судьба/Апокриф,фате и чота апоприпа,Доля/Апокриф,,
ANIME_102,School rumble,Школьный переполох,в школе бунт,Шкільний переполох,,
ANIME_103,Mysterious Play,Таинственная игра,игра в шпиона,Таємнича гра,,
ANIME_104,The Heroic Legend of Arslan,Сказание об Арслане,сказка об руслане,Оповідь про Арслана,,
TEST_KEY_1,Eng 1,Русскй 1,Пиратский 1,Укра 1,,
TEST_KEY_2,Eng 2,Русский 2,Пиратский 2,Укра 2,,
TEST_KEY_3,Eng 3,Русский 3,Пиратский 3,Укра 3,,
TEST_KEY_4,Eng 4,Русский 4,Пиратский 4,Укра 4,,
OPTIONS,Options,Настройки,Саквояж,Налаштування,,
OPTIONS_FS,Fullscreen,Полный экран,на все поля,Повний екран,,
OPTIONS_VS,Vsync,Верт. Синхрон.,В 24 кадра,Верт. Синхрон.,,
OPTIONS_QT,Quiz timer,Время таймера,время на подумать,Час таймеру,,
OPTION_DONE,Accept,Принять,лады,Прийняти,,
OPTION_RETURN,Restore settings,По умолчанию,халя отмена,За замовчуванням,,
OPTION_FOLDER,Open config folder,Открыть папку с настройками,чо там в папке,Відкрити папку з налаштуваннями,,
QUIT,Quit,Выход,в туман,Вихід,,
START,Start,Запуск,Поехали,Запуск,,
SKIP,Skip,Пропустить,отвали со своей,пропустити,,
GAME_RETURN,Return in main menu,В главное меню,обратно в петлю,у головне меню,,
GAME_OVER,Game over.,Игра закончена,Все кончено…,Гра закінчена,,
GAME_HINTS,Correct anwers / Total questions,Правильных ответов / Всего вопросов,ответил за базар / всего предьяв,Правильних відповідей / Усього питань,,
test,something wrong with resource,Что-то не то с файлами,все херня качай заново,щось пішло не так,,
LANGUAGE_SELECT,Select language,Выбрать язык,На каком пшехаешь,Вибрати мову,,
WELLCOME,Wellcome!,Добро пожаловать!,Ну чо выбирай,Ласкаво просимо,,
ANIME_105,Trigun,Триган,три пушке,Триган,,
ANIME_106,Space Dandy,Космический Денди,пушка заряжена и денди,Космічний Денді,,
ANIME_107,Jojo’s Bizarre Adventure,Невероятное приключение ДжоДжо,дюдю окда,Неймовірна пригода ДжоДжо,,
ANIME_108,Cowboy Bebop,Ковбой Бибоп,ковбой мальборо,Ковбой Бібоп,,
ANIME_109,Angel Beats,Ангельские ритмы!,е рок дьявола,Янгольські ритми!,,
ANIME_110,Puella Magi Madoka Magica,Девочка-волшебница Мадока Волшебство,ведьмак ороче и она мадока,Дівчинка-чарівниця Мадока Чарівність,,
ANIME_111,Serial Experiments Lain,Эксперименты Лэйн,зеленый слоник лейн,Експерименти Лейн,,
ANIME_112,Ergo Proxy,Эрго Прокси,чет на кампуктерном и эрго,Ерго Проксі,,
ANIME_113,Evangelion,Евангелион,ева и там да,Євангеліон,,
ANIME_114,Trinity Blood,Кровь Триединства,тройной пул кровью,Кров Триєдності,,
ANIME_115,Black Blood Brothers,Братство чёрной крови,гниды ч0нрож0пые педобратсво,Братство чорної крові,,
ANIME_116,Shiki,Усопшие,жмурики,Померлі,,
ANIME_117,Toppa Tengen Gurren Lagaan,"Гуррен-Лаганн, пронзающий небеса",гарик лагает,"Гуррен-Лаганн, що пронизує небеса",,
ANIME_118,Fist of the North Star,Кулак Северной звезды,кулачок,Кулак Північної зірки,,
ANIME_119,No Game No Life,Нет игры - нет жизни,no money no honey,Немає гри – немає життя,,
ANIME_120,Kakegurui,Безумный азарт,в картишки да до утра,Шалений азарт,,
ANIME_121,Kaiji,Кайдзи,китаедзо,Кайдзі,,
ANIME_122,Death Parade,Смертельный парад,жмуркин парад,Смертельний парад,,
ANIME_123,Re:Zero,Жизнь с нуля в альтернативном мире,с ноля епат,Життя з нуля в альтернативному світі,,
ANIME_124,Steins,Врата Штейна,дверь шатунова,Брама Штейна,,
ANIME_125,Higurashi – When They Cry,Когда плачут цикады,когда децл плак,Коли плачуть цикади,,
ANIME_126,Gate  Thus the SDF Fought,Врата Там бьются наши воины,дверь там мордобой,Брама Там б'ються наші воїни,,
ANIME_127,Rosario+Vampire,Розарио + Вампир,ромик и вомпик,Розаріо + Вампір,,
ANIME_128,Demon King Daimao,Князь тьмы с задней парты,княжик сзади. Опасно,Князь темряви із задньої парти,,
ANIME_129,Sekirei,Сэкирэй,секирь епта,Секірей,,
ANIME_130,Monster Musume: Everyday Life with Monster Girls,Повседневная жизнь с девушкой-монстром,каждый день в цирке,Повсякденне життя з дівчиною-монстром,,
ANIME_131,Desert Punk,Пустынная крыса,крыса позорная епта,Пустельний щур,,
ANIME_132,El Cazador de la Bruja,Эль Касадор,жопа,Ель Касадор,,
ANIME_133,My Little Monster,Чудовище за соседней партой,жопа сзади,Чудовисько за сусідньою партою,,
